"index";"id";"anonymous";"graduatingYear";"overallScore";"overall";"curriculum";"jobSupport";"school_id";"course_id";"program_time_id";"program_presence_id"
127;275755;0;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
128;275751;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
130;275734;0;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
131;275705;0;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
133;275672;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
134;275625;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
135;275311;0;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
136;275285;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
137;274957;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
138;274038;0;2020.0;4.7;4.0;5.0;5.0;1;1;2;1
139;273719;0;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
141;272383;1;2020.0;2.3;2.0;3.0;2.0;1;1;1;1
142;272083;1;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
145;271459;0;2020.0;4.7;5.0;4.0;5.0;1;1;2;1
146;271405;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
147;271389;1;2020.0;4.3;5.0;4.0;4.0;1;4;1;1
148;271264;0;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
149;271197;0;2020.0;4.3;5.0;4.0;4.0;1;4;2;1
150;270846;1;2020.0;2.7;3.0;4.0;1.0;1;4;1;1
151;270766;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
152;270471;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
153;270296;1;2020.0;4.7;5.0;4.0;5.0;1;4;1;1
154;270295;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
155;270282;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
156;270277;1;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
159;270253;0;2020.0;4.7;5.0;5.0;4.0;1;1;1;1
160;270252;0;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
161;270246;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
162;270206;0;2020.0;4.0;4.0;4.0;4.0;1;2;1;1
163;270185;0;2020.0;4.3;4.0;5.0;4.0;1;4;1;1
164;270147;1;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
165;270138;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
167;269979;1;2020.0;3.3;4.0;3.0;3.0;1;2;1;1
168;269959;0;2020.0;3.7;4.0;4.0;3.0;1;2;1;1
169;269956;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
170;269955;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
171;269952;0;2020.0;4.3;5.0;4.0;4.0;1;4;1;1
173;269343;0;2020.0;3.3;2.0;5.0;3.0;1;1;1;1
174;269201;0;2020.0;5.0;5.0;5.0;5.0;1;1;2;1
175;269141;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
178;269104;0;2020.0;4.3;5.0;4.0;4.0;1;4;1;1
179;269103;0;2020.0;5.0;5.0;5.0;0.0;1;4;1;1
180;269102;0;2020.0;4.7;5.0;4.0;5.0;1;1;1;1
181;269045;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
182;269020;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
183;269010;0;2020.0;4.7;5.0;5.0;4.0;1;1;1;1
184;268969;1;2020.0;3.7;4.0;4.0;3.0;1;2;1;1
185;268800;1;2019.0;2.3;2.0;1.0;4.0;1;2;1;1
186;268746;1;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
187;268442;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
189;268236;0;2020.0;1.7;1.0;3.0;1.0;1;1;2;1
190;268202;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
191;268193;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
192;268172;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
193;268130;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
194;268094;0;2020.0;4.3;4.0;5.0;4.0;1;4;1;1
195;268049;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
196;267977;0;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
198;267864;0;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
199;267742;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
201;267597;0;2020.0;3.7;4.0;4.0;3.0;1;1;1;1
202;267588;0;2020.0;4.7;5.0;4.0;5.0;1;4;1;1
203;267583;1;2020.0;4.0;4.0;4.0;4.0;1;4;1;1
204;267579;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
205;267563;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
206;267560;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
207;267531;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
208;267527;1;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
209;267517;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
210;267514;1;2020.0;4.0;4.0;4.0;0.0;1;1;1;1
211;267500;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
212;267375;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
214;267141;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
215;266915;1;2020.0;4.7;5.0;5.0;4.0;1;4;2;1
216;266891;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
217;266881;1;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
218;266677;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
222;266425;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
223;266341;1;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
224;266294;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
226;266276;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
227;266264;0;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
228;266263;0;2020.0;4.7;5.0;5.0;4.0;1;2;1;1
229;266037;1;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
230;266009;0;2020.0;4.7;5.0;5.0;4.0;1;1;1;1
231;265960;0;2020.0;4.7;5.0;4.0;5.0;1;4;1;1
232;265948;1;2020.0;4.0;4.0;4.0;4.0;1;1;2;1
233;265947;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
234;265946;0;2020.0;4.7;5.0;4.0;5.0;1;4;1;1
235;265832;0;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
236;265809;0;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
237;265788;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
238;265738;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
239;265732;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
240;265686;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
241;265682;1;2020.0;3.7;4.0;4.0;3.0;1;1;1;1
242;265629;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
244;265583;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
246;265505;1;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
247;265496;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
248;265376;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
249;265370;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
250;265348;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
251;265336;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
252;265333;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
253;265331;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
254;265276;0;2018.0;5.0;5.0;5.0;5.0;1;4;1;1
256;265094;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
257;264592;0;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
258;264578;0;2020.0;4.7;5.0;5.0;4.0;1;1;2;1
259;264415;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
260;264332;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
261;264225;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
262;264218;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
264;264143;0;2018.0;5.0;5.0;5.0;5.0;1;1;2;1
265;264142;1;2019.0;1.7;2.0;2.0;1.0;1;1;1;1
266;264076;0;2020.0;5.0;5.0;5.0;5.0;1;2;2;1
267;264071;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
268;264067;1;2020.0;4.7;5.0;5.0;4.0;1;2;1;1
269;264046;0;2019.0;5.0;5.0;5.0;5.0;1;4;2;1
271;264040;1;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
272;264026;0;2020.0;4.7;5.0;4.0;5.0;1;2;1;1
273;264022;0;2020.0;4.3;4.0;5.0;4.0;1;2;1;1
274;264015;1;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
275;264014;1;2019.0;4.0;3.0;4.0;5.0;1;4;1;1
276;264012;1;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
277;264011;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
279;264006;1;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
280;264003;0;2019.0;5.0;5.0;5.0;5.0;1;4;2;1
281;264002;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
282;264001;0;2019.0;5.0;5.0;5.0;5.0;1;2;1;1
283;263999;0;2019.0;5.0;5.0;5.0;5.0;1;2;1;1
284;263998;0;2019.0;4.3;4.0;4.0;5.0;1;1;2;1
285;263997;0;2018.0;5.0;5.0;5.0;5.0;1;4;1;1
286;263994;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
287;263993;0;2020.0;4.3;5.0;4.0;4.0;1;4;1;1
288;263989;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
289;263988;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
290;263986;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
291;263985;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
292;263982;0;2018.0;5.0;5.0;5.0;5.0;1;4;1;1
293;263981;0;2018.0;5.0;5.0;5.0;5.0;1;4;1;1
294;263980;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
295;263979;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
296;263978;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
297;263977;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
298;263976;0;2020.0;4.3;5.0;4.0;4.0;1;1;1;1
299;263974;0;2018.0;5.0;5.0;5.0;5.0;1;1;1;1
300;263970;1;2020.0;4.3;4.0;4.0;5.0;1;1;2;1
301;263966;1;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
302;263965;0;2019.0;4.3;5.0;4.0;4.0;1;2;1;1
303;263964;0;2019.0;4.7;5.0;5.0;4.0;1;1;2;1
304;263963;0;2019.0;5.0;5.0;5.0;5.0;1;2;1;1
305;263934;1;2019.0;5.0;5.0;5.0;5.0;1;1;2;1
306;263933;1;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
307;263932;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
308;263920;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
309;263918;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
310;263917;1;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
311;263914;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
312;263913;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
313;263903;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
314;263894;0;2019.0;4.3;4.0;4.0;5.0;1;1;1;1
315;263885;0;2019.0;4.7;4.0;5.0;5.0;1;1;2;1
316;263883;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
317;263878;0;2020.0;5.0;5.0;5.0;5.0;1;1;2;1
318;263877;0;2019.0;4.7;5.0;4.0;5.0;1;2;1;1
319;263875;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
320;263865;1;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
321;263863;0;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
322;263862;0;2020.0;4.7;5.0;5.0;4.0;1;2;1;1
323;263861;1;2020.0;5.0;5.0;5.0;5.0;1;4;2;1
324;263860;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
325;263859;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
327;263856;1;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
328;263855;0;2020.0;4.0;4.0;4.0;4.0;1;1;1;1
330;263853;0;2019.0;4.3;5.0;4.0;4.0;1;1;1;1
331;263828;0;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
332;263802;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
334;263763;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
335;263736;0;2020.0;4.3;5.0;5.0;3.0;1;1;2;1
336;263690;1;2020.0;5.0;5.0;5.0;5.0;1;2;1;1
337;263656;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
338;263619;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
339;263618;1;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
340;263617;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
341;263615;0;2020.0;5.0;5.0;5.0;5.0;1;1;2;1
342;263609;0;2020.0;4.7;5.0;5.0;4.0;1;4;1;1
343;263607;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
344;263594;0;2020.0;4.7;5.0;4.0;5.0;1;2;1;1
345;263589;0;2020.0;4.3;5.0;4.0;4.0;1;4;1;1
346;263588;0;2019.0;5.0;5.0;5.0;5.0;1;2;1;1
347;263555;1;2019.0;3.0;3.0;4.0;2.0;1;4;1;1
348;263469;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
349;263423;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
350;263164;1;2019.0;3.0;4.0;3.0;2.0;1;4;1;1
351;263045;0;2019.0;4.0;4.0;4.0;4.0;1;2;1;1
352;262935;1;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
353;262929;0;2020.0;4.7;5.0;4.0;5.0;1;4;1;1
355;262795;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
356;262792;0;2020.0;5.0;5.0;5.0;5.0;1;1;1;1
357;262727;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
358;262726;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
359;262724;0;2020.0;4.7;4.0;5.0;5.0;1;4;1;1
360;262723;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
361;262721;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
362;262720;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
363;262719;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
364;262718;0;2020.0;5.0;5.0;5.0;5.0;1;4;1;1
365;262502;0;2019.0;4.7;5.0;4.0;5.0;1;1;1;1
366;262425;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
367;262317;0;2019.0;4.7;5.0;5.0;4.0;1;4;1;1
368;262238;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
369;262228;0;2019.0;5.0;5.0;5.0;5.0;1;4;2;1
370;262174;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
371;262099;0;2018.0;5.0;5.0;5.0;5.0;1;1;2;1
372;262075;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
373;262073;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
374;262068;0;2019.0;4.3;4.0;4.0;5.0;1;4;2;1
375;261993;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
376;261970;0;2019.0;4.0;4.0;4.0;4.0;1;1;1;1
377;261892;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
378;261886;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
379;261866;0;2019.0;4.7;5.0;4.0;5.0;1;4;2;1
380;261864;0;2019.0;4.3;5.0;3.0;5.0;1;4;1;1
381;261757;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
382;261753;0;2019.0;4.7;5.0;4.0;5.0;1;1;1;1
383;261690;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
384;261586;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
385;261583;0;2019.0;4.7;4.0;5.0;5.0;1;4;2;1
386;261582;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
387;261553;0;2019.0;5.0;5.0;5.0;5.0;1;4;2;1
388;261546;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
390;261539;0;2019.0;4.3;5.0;4.0;4.0;1;1;1;1
391;261527;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
392;261509;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
393;261488;0;2018.0;5.0;5.0;5.0;5.0;1;4;1;1
394;261472;1;2019.0;4.3;4.0;4.0;5.0;1;4;1;1
395;261470;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
396;261425;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
397;261349;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
399;261251;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
400;261250;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
401;261222;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
402;261198;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
403;260658;0;2019.0;4.7;5.0;4.0;5.0;1;4;1;1
404;259803;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
405;259765;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
406;259443;0;2019.0;4.7;5.0;4.0;5.0;1;1;1;1
407;259285;1;2019.0;2.3;3.0;3.0;1.0;1;1;1;1
409;259144;0;2019.0;4.3;5.0;4.0;4.0;1;4;1;1
411;258967;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
412;258899;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
413;258871;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
414;258809;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
416;258775;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
417;258774;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
419;258581;0;2019.0;5.0;5.0;5.0;5.0;1;4;2;1
420;258576;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
421;258575;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
423;258531;1;2019.0;3.3;3.0;4.0;3.0;1;1;1;1
424;258529;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
425;258521;0;2019.0;2.7;3.0;4.0;1.0;1;1;1;1
427;258518;0;2019.0;4.7;5.0;5.0;4.0;1;4;1;1
428;258517;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
429;258505;0;2019.0;4.7;5.0;5.0;4.0;1;4;1;1
431;258497;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
432;258486;0;2019.0;5.0;5.0;5.0;5.0;1;4;2;1
433;258429;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
434;258348;0;2019.0;4.3;5.0;4.0;4.0;1;1;1;1
435;258308;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
436;258307;0;2019.0;5.0;5.0;5.0;5.0;1;4;1;1
437;258292;0;2019.0;5.0;5.0;5.0;5.0;1;1;1;1
438;258239;0;2019.0;5.0;5.0;5.0;5.0;1;4;2;1
